(2022-10-13 02:26:36,872) ERROR: scraped_info, 02327: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,875) ERROR: scraped_info, 02332: Timeout when loading URL
(2022-10-13 02:26:36,875) ERROR: scraped_info, 02332: Error when splitting page_source
(2022-10-13 02:26:36,877) ERROR: scraped_info, 02332: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,879) ERROR: scraped_info, 02346: Timeout when loading URL
(2022-10-13 02:26:36,880) ERROR: scraped_info, 02346: Error when splitting page_source
(2022-10-13 02:26:36,881) ERROR: scraped_info, 02346: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,884) ERROR: scraped_info, 02362: Timeout when loading URL
(2022-10-13 02:26:36,884) ERROR: scraped_info, 02362: Error when splitting page_source
(2022-10-13 02:26:36,886) ERROR: scraped_info, 02362: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,888) ERROR: scraped_info, 02363: Timeout when loading URL
